#BarNum Z0 XOffset ZOffset
0  90   0  0
1  96   0  0
2  90   0  0
3  96   0  0
4  90   0  0
5  96   0  0
6  90   0  0
7  96   0  0
8  90   0  0
9  96   0  0
10 90   0  0
11 96   0  0
12 90   0  0
13 96   0  0
14 90   0  0
15 96   0  0
16 90   0  0
17 96   0  0
18 90   0  0
19 96   0  0
20 90   0  0
21 96   0  0
22 90   0  0
23 96   0  0
24 90   0  0
25 96   0  0
26 90   0  0
27 96   0  0
28 90   0  0
29 96   0  0
30 90   0  0
31 96   0  0
32 90   0  0
33 96   0  0
34 90   0  0
35 96   0  0
36 90   0  0
37 96   0  0
38 90   0  0
39 96   0  0
40 90   0  0
41 96   0  0
42 90   0  0
43 96   0  0
44 90   0  0
45 96   0  0
46 90   0  0
47 96   0  0
48 90   0  0
49 96   0  0
50 90   0  0
51 96   0  0
52 90   0  0
53 96   0  0
54 90   0  0
55 96   0  0
56 90   0  0
57 96   0  0
58 90   0  0
59 96   0  0
60 90   0  0
61 96   0  0
62 90   0  0
63 96   0  0
64 90   0  0
65 96   0  0
66 90   0  0
67 96   0  0
68 90   0  0
69 96   0  0
70 90   0  0
71 96   0  0
72 90   0  0
73 96   0  0
74 90   0  0
75 96   0  0
76 90   0  0
77 96   0  0
78 90   0  0
79 96   0  0
80 90   0  0
81 96   0  0
82 90   0  0
83 96   0  0
84 90   0  0
85 96   0  0
86 90   0  0
87 96   0  0
